,averageRating,datePublished,genre,name,ratingCount,releasedCountry
15587,6.9,2003.0,Drama,Caterina va in città,2433.0,Italy
15594,7.6,1960.0,Drama,Les bonnes femmes,2079.0,France
15595,7.6,1960.0,Mystery,Les bonnes femmes,2079.0,France
15596,7.6,1960.0,Romance,Les bonnes femmes,2079.0,France
15597,7.1,1960.0,Comedy,Bells Are Ringing,2459.0,Sweden
15598,7.1,1960.0,Musical,Bells Are Ringing,2459.0,Sweden
15599,7.1,1960.0,Romance,Bells Are Ringing,2459.0,Sweden
15600,7.1,2007.0,Documentary,Crazy Love,2274.0,USA
15601,7.1,2007.0,Romance,Crazy Love,2274.0,USA
15613,6.6,1971.0,Action,Shaft,13896.0,USA
15614,6.6,1971.0,Crime,Shaft,13896.0,USA
15615,6.6,1971.0,Thriller,Shaft,13896.0,USA
15616,7.1,1964.0,Comedy,Gomer Pyle: USMC,2270.0,1964–1969
15617,7.1,1964.0,War,Gomer Pyle: USMC,2270.0,1964–1969
15618,3.8,2007.0,Action,In the Name of the King: A Dungeon Siege Tale,41384.0,USA
15619,3.8,2007.0,Adventure,In the Name of the King: A Dungeon Siege Tale,41384.0,USA
15620,3.8,2007.0,Fantasy,In the Name of the King: A Dungeon Siege Tale,41384.0,USA
15621,3.8,2007.0,Thriller,In the Name of the King: A Dungeon Siege Tale,41384.0,USA
15622,3.7,1988.0,Comedy,Slaughterhouse Rock,536.0,USA
15623,3.7,1988.0,Horror,Slaughterhouse Rock,536.0,USA
15624,6.0,2009.0,Comedy,Delhi-6,6138.0,India
15625,6.0,2009.0,Drama,Delhi-6,6138.0,India
15626,7.5,1950.0,Drama,No Man of Her Own,1518.0,UK
15627,7.5,1950.0,Film-Noir,No Man of Her Own,1518.0,UK
15628,6.9,1939.0,Crime,The Man They Could Not Hang,1163.0,USA
15629,6.9,1939.0,Horror,The Man They Could Not Hang,1163.0,USA
15630,6.9,1939.0,Sci-Fi,The Man They Could Not Hang,1163.0,USA
15636,7.1,2010.0,Drama,Beneath Hill 60,6668.0,Australia
15637,7.1,2010.0,History,Beneath Hill 60,6668.0,Australia
15638,7.1,2010.0,War,Beneath Hill 60,6668.0,Australia
15668,5.5,2017.0,Drama,The Wrong Mother,230.0,USA
15669,5.5,2017.0,Thriller,The Wrong Mother,230.0,USA
15670,7.9,1984.0,Crime,Fatal Vision,766.0,1984– 
15671,7.9,1984.0,Drama,Fatal Vision,766.0,1984– 
15672,7.9,1984.0,History,Fatal Vision,766.0,1984– 
